month,year,visitors
04,2004,403841
05,2004,367435
06,2004,352583
07,2004,504251
08,2004,490457
09,2004,360254
10,2004,455236
11,2004,387258
12,2004,396783
01,2005,327033
02,2005,367113
03,2005,365956
04,2005,372676
05,2005,414362
06,2005,390743
07,2005,400081
08,2005,359917
09,2005,320651
10,2005,405798
11,2005,365994
12,2005,377364
01,2006,360700
02,2006,328462
03,2006,388734
04,2006,431430
05,2006,443157
06,2006,442917
07,2006,484378
08,2006,473701
09,2006,363569
10,2006,399860
11,2006,354909
12,2006,366105
01,2007,351099
02,2007,368636
03,2007,422498
04,2007,400735
05,2007,431701
06,2007,401792
07,2007,470926
08,2007,500509
09,2007,481784
10,2007,555695
11,2007,509191
12,2007,523699
01,2008,546448
02,2008,580093
03,2008,635357
04,2008,455743
05,2008,454604
06,2008,389540
07,2008,552341
08,2008,582018
09,2008,443478
10,2008,526540
11,2008,384757
12,2008,376555
01,2009,410035
02,2009,417681
03,2009,478764
04,2009,508408
05,2009,471666
06,2009,460450
07,2009,567216
08,2009,549704
09,2009,416677
10,2009,499376
11,2009,391531
12,2009,405153
01,2010,402611
02,2010,457606
03,2010,519990
04,2010,513323
05,2010,539734
06,2010,461935
07,2010,601719
08,2010,596630
09,2010,432671
10,2010,490251
11,2010,430562
12,2010,395106
01,2011,414782
02,2011,460670
03,2011,532013
04,2011,495739
05,2011,485629
06,2011,526789
07,2011,663409
08,2011,617343
09,2011,444345
10,2011,494480
11,2011,342734
12,2011,370601
01,2012,408567
02,2012,491294
03,2012,500728
04,2012,579873
05,2012,462164
06,2012,457906
07,2012,493439
08,2012,480136
09,2012,443538
10,2012,491908
11,2012,415935
12,2012,350458
01,2013,355439
02,2013,463939
03,2013,598079
04,2013,644605
05,2013,660497
06,2013,579950
07,2013,747936
08,2013,739711
09,2013,555727
10,2013,533444
11,2013,410312
12,2013,411397
01,2014,428710
02,2014,457379
03,2014,589267
04,2014,641259
05,2014,654228
06,2014,596527
07,2014,698550
08,2014,702997
09,2014,498386
10,2014,586248
11,2014,425550
12,2014,416112
01,2015,446904
02,2015,477719
03,2015,533510
04,2015,600774
05,2015,635393
06,2015,601099
07,2015,765877
08,2015,717386
09,2015,520716
10,2015,624066
11,2015,483800
12,2015,413442
01,2016,437169
02,2016,497950
03,2016,555868
04,2016,530029
05,2016,568317
06,2016,567555
07,2016,689401
08,2016,635353
09,2016,477003
10,2016,541954
11,2016,477088
12,2016,442708
01,2017,388072
02,2017,420134
03,2017,491414
04,2017,549563
05,2017,541927
06,2017,557991
07,2017,679308
08,2017,591149
09,2017,422497
10,2017,479492
11,2017,421888
12,2017,363281
01,2018,397809
02,2018,385277
03,2018,432333
04,2018,472113
05,2018,480033
06,2018,507173
07,2018,645024
08,2018,628253
09,2018,464483
10,2018,523369
11,2018,433200
12,2018,459485
01,2019,447863
02,2019,470127
03,2019,494348
04,2019,518883
05,2019,546823
06,2019,577624
07,2019,687837
08,2019,638890
09,2019,447383
10,2019,522556
11,2019,442347
12,2019,445302
01,2020,463881
02,2020,471593
03,2020,179887
04,2020,0
05,2020,0
06,2020,0
07,2020,0
08,2020,7194
09,2020,43627
10,2020,72418
11,2020,11903
12,2020,24963
01,2021,0
02,2021,0
03,2021,0
04,2021,0
05,2021,44893
06,2021,111514
07,2021,145595
08,2021,205847
09,2021,168444
10,2021,250198
11,2021,220861
12,2021,179768
01,2022,190792
02,2022,246311
03,2022,280991
04,2022,335401
05,2022,346168
06,2022,379912
07,2022,471554
08,2022,440407
09,2022,335308
10,2022,404408
11,2022,327109
12,2022,346754
01,2023,395472
02,2023,303120
03,2023,466847
04,2023,376473
05,2023,531650
06,2023,560358
