month,year,visitors
01,2005,20123
02,2005,16531
03,2005,33703
04,2005,45833
05,2005,29887
06,2005,16006
07,2005,14894
08,2005,23356
09,2005,15599
10,2005,25763
11,2005,21896
12,2005,22705
01,2006,22622
02,2006,57803
03,2006,68815
04,2006,81998
05,2006,64681
06,2006,32184
07,2006,19840
08,2006,41283
09,2006,27284
10,2006,36771
11,2006,35171
12,2006,41459
01,2007,38069
02,2007,37646
03,2007,57486
04,2007,68539
05,2007,62187
06,2007,26751
07,2007,22604
08,2007,48170
09,2007,28747
10,2007,32198
11,2007,46034
12,2007,39945
01,2008,30571
02,2008,42102
03,2008,66920
04,2008,71130
05,2008,70278
06,2008,31527
07,2008,22310
08,2008,42477
09,2008,28914
10,2008,35138
11,2008,34000
12,2008,35585
01,2009,37039
02,2009,38728
03,2009,59706
04,2009,75946
05,2009,70249
06,2009,27577
07,2009,23643
08,2009,38131
09,2009,27759
10,2009,36623
11,2009,32760
12,2009,40595
01,2010,42116
02,2010,43424
03,2010,59918
04,2010,96559
05,2010,98811
06,2010,31479
07,2010,22298
08,2010,44034
09,2010,29884
10,2010,41631
11,2010,33669
12,2010,32377
01,2011,43376
02,2011,41275
03,2011,76999
04,2011,82117
05,2011,65440
06,2011,43145
07,2011,29815
08,2011,41424
09,2011,32258
10,2011,47650
11,2011,31742
12,2011,41796
01,2012,41722
02,2012,32878
03,2012,58246
04,2012,75977
05,2012,59996
06,2012,28315
07,2012,23961
08,2012,35545
09,2012,29688
10,2012,31462
11,2012,39903
12,2012,37971
01,2013,35514
02,2013,36485
03,2013,60141
04,2013,73019
05,2013,60463
06,2013,33930
07,2013,25948
08,2013,56240
09,2013,35502
10,2013,39393
11,2013,42883
12,2013,38814
01,2014,42326
02,2014,38155
03,2014,56759
04,2014,74693
05,2014,72206
06,2014,35584
07,2014,37004
08,2014,49542
09,2014,36058
10,2014,36981
11,2014,39190
12,2014,49171
01,2015,39454
02,2015,16650
03,2015,22116
04,2015,118558
05,2015,120753
06,2015,84987
07,2015,46114
08,2015,76719
09,2015,53267
10,2015,66071
11,2015,61020
12,2015,67392
01,2016,66634
02,2016,67770
03,2016,93716
04,2016,113631
05,2016,85624
06,2016,53049
07,2016,48570
08,2016,71162
09,2016,47865
10,2016,70336
11,2016,55527
12,2016,73416
01,2017,71577
02,2017,66775
03,2017,85061
04,2017,123457
05,2017,84862
06,2017,50197
07,2017,44502
08,2017,67844
09,2017,59185
10,2017,70563
11,2017,53978
12,2017,72446
01,2018,63807
02,2018,67534
03,2018,86805
04,2018,111829
05,2018,91965
06,2018,48768
07,2018,43438
08,2018,67736
09,2018,49292
10,2018,62107
11,2018,73431
12,2018,82451
01,2019,61164
02,2019,60524
03,2019,98018
04,2019,119660
05,2019,92378
06,2019,49576
07,2019,46723
08,2019,71473
09,2019,56058
10,2019,65068
11,2019,67511
12,2019,65167
01,2020,63748
02,2020,52910
03,2020,2896
04,2020,chiuso
05,2020,chiuso
06,2020,11056
07,2020,16122
08,2020,40368
09,2020,26585
10,2020,25829
11,2020,1625
12,2020,chiuso
01,2021,chiuso
02,2021,18627
03,2021,chiuso
04,2021,1530
05,2021,30447
06,2021,36246
07,2021,42933
08,2021,53433
09,2021,39147
10,2021,58271
11,2021,60473
12,2021,57776
01,2022,44209
02,2022,44844
03,2022,64264
04,2022,103418
05,2022,95850
06,2022,64447
07,2022,68550
08,2022,96522
09,2022,64444
10,2022,92914
11,2022,81450
12,2022,86452
