date;arrivals
1/1/2005;33293
2/1/2005;45829
3/1/2005;48302
4/1/2005;59785
5/1/2005;58007
6/1/2005;40574
7/1/2005;47143
8/1/2005;36698
9/1/2005;56180
10/1/2005;70164
11/1/2005;53425
12/1/2005;54940
1/1/2006;28342
2/1/2006;39776
3/1/2006;42032
4/1/2006;52505
5/1/2006;50883
6/1/2006;34983
7/1/2006;40974
8/1/2006;31448
9/1/2006;49217
10/1/2006;61971
11/1/2006;46704
12/1/2006;48085
1/1/2007;25389
2/1/2007;36166
3/1/2007;38291
4/1/2007;48162
5/1/2007;46633
6/1/2007;31648
7/1/2007;37295
8/1/2007;28316
9/1/2007;45063
10/1/2007;57084
11/1/2007;42695
12/1/2007;43997
1/1/2008;29677
2/1/2008;41408
3/1/2008;43722
4/1/2008;54467
5/1/2008;52803
6/1/2008;36490
7/1/2008;42637
8/1/2008;32863
9/1/2008;51094
10/1/2008;64180
11/1/2008;48516
12/1/2008;49933
1/1/2009;44956
2/1/2009;60090
3/1/2009;63075
4/1/2009;76937
5/1/2009;74791
6/1/2009;53745
7/1/2009;61676
8/1/2009;49067
9/1/2009;72586
10/1/2009;89467
11/1/2009;69260
12/1/2009;71088
1/1/2010;46929
2/1/2010;62502
3/1/2010;65574
4/1/2010;79839
5/1/2010;77630
6/1/2010;55974
7/1/2010;64134
8/1/2010;51159
9/1/2010;75361
10/1/2010;92732
11/1/2010;71938
12/1/2010;73820
1/1/2011;48073
2/1/2011;63901
3/1/2011;67023
4/1/2011;81521
5/1/2011;79276
6/1/2011;57265
7/1/2011;65560
8/1/2011;52372
9/1/2011;76970
10/1/2011;94625
11/1/2011;73491
12/1/2011;75403
1/1/2012;48691
2/1/2012;64657
3/1/2012;67806
4/1/2012;82430
5/1/2012;80166
6/1/2012;57964
7/1/2012;66330
8/1/2012;53028
9/1/2012;77839
10/1/2012;95649
11/1/2012;74330
12/1/2012;76259
1/1/2013;49939
2/1/2013;66183
3/1/2013;69387
4/1/2013;84265
5/1/2013;81961
6/1/2013;59373
7/1/2013;67885
8/1/2013;54351
9/1/2013;79595
10/1/2013;97714
11/1/2013;76025
12/1/2013;77987
1/1/2014;54343
2/1/2014;71568
3/1/2014;74966
4/1/2014;90742
5/1/2014;88299
6/1/2014;64347
7/1/2014;73373
8/1/2014;59022
9/1/2014;85790
10/1/2014;105003
11/1/2014;82004
12/1/2014;84085
1/1/2015;70052
2/1/2015;82879
3/1/2015;90139
4/1/2015;114623
5/1/2015;125894
6/1/2015;104102
7/1/2015;89440
8/1/2015;79642
9/1/2015;104398
10/1/2015;113217
11/1/2015;105064
12/1/2015;93164
1/1/2016;77942
2/1/2016;95300
3/1/2016;98724
4/1/2016;114623
5/1/2016;112161
6/1/2016;88023
7/1/2016;97119
8/1/2016;82657
9/1/2016;109632
10/1/2016;128994
11/1/2016;105817
12/1/2016;107914
1/1/2017;87094
2/1/2017;94704
3/1/2017;116852
4/1/2017;127940
5/1/2017;119140
6/1/2017;100630
7/1/2017;102683
8/1/2017;89831
9/1/2017;123847
10/1/2017;128184
11/1/2017;114930
12/1/2017;110046
1/1/2018;87214
2/1/2018;100882
3/1/2018;119080
4/1/2018;129597
5/1/2018;127919
6/1/2018;107869
7/1/2018;109216
8/1/2018;99987
9/1/2018;122976
10/1/2018;140386
11/1/2018;124986
12/1/2018;119629
1/1/2019;89937
2/1/2019;96933
3/1/2019;136077
4/1/2019;138946
5/1/2019;133537
6/1/2019;110193
7/1/2019;118667
8/1/2019;105178
9/1/2019;134821
10/1/2019;152663
11/1/2019;137018
12/1/2019;127637
1/1/2020;108396
2/1/2020;99979
3/1/2020;12620
4/1/2020;1429
5/1/2020;5675
6/1/2020;20813
7/1/2020;43102
8/1/2020;53761
9/1/2020;63885
10/1/2020;64401
11/1/2020;18079
12/1/2020;23490
1/1/2021;26396
2/1/2021;36979
3/1/2021;30620
4/1/2021;33729
5/1/2021;60675
6/1/2021;63813
7/1/2021;89102
8/1/2021;97761
9/1/2021;108885
10/1/2021;149401
11/1/2021;120079
12/1/2021;103490
1/1/2022;62396
2/1/2022;80979
3/1/2022;110929
4/1/2022;165429
5/1/2022;142675
6/1/2022;119813
7/1/2022;142102
8/1/2022;131761
9/1/2022;145885
10/1/2022;189401
11/1/2022;160879
12/1/2022;157490
