"date","month","quarter","year","visitors","trends","average_temperature","raining_days","school_holidays"
2005-01-01,1,1,2005,20123,42,1,0,6
2005-02-01,2,1,2005,16531,38,1,3,3
2005-03-01,3,1,2005,33703,56,7,8,3
2005-04-01,4,2,2005,45833,72,11,15,2
2005-05-01,5,2,2005,29887,34,18,9,1
2005-06-01,6,2,2005,16006,26,22,9,21
2005-07-01,7,3,2005,14894,25,24,7,31
2005-08-01,8,3,2005,23356,32,21,10,31
2005-09-01,9,3,2005,15599,40,18,14,17
2005-10-01,10,4,2005,25763,47,12,9,0
2005-11-01,11,4,2005,21896,55,10,4,1
2005-12-01,12,4,2005,22705,32,1,3,7
2006-01-01,1,1,2006,22622,49,0,4,8
2006-02-01,2,1,2006,57803,82,3,10,3
2006-03-01,3,1,2006,68815,74,7,5,1
2006-04-01,4,2,2006,81998,81,12,14,6
2006-05-01,5,2,2006,64681,47,16,11,1
2006-06-01,6,2,2006,32184,27,21,8,21
2006-07-01,7,3,2006,19840,30,25,12,31
2006-08-01,8,3,2006,41283,51,20,15,31
2006-09-01,9,3,2006,27284,48,19,13,12
2006-10-01,10,4,2006,36771,48,14,9,0
2006-11-01,11,4,2006,35171,44,7,7,1
2006-12-01,12,4,2006,41459,45,3,6,9
2007-01-01,1,1,2007,38069,52,4,3,6
2007-02-01,2,1,2007,37646,44,5,2,2
2007-03-01,3,1,2007,57486,49,9,13,4
2007-04-01,4,2,2007,68539,51,15,7,6
2007-05-01,5,2,2007,62187,38,17,12,1
2007-06-01,6,2,2007,26751,26,20,17,21
2007-07-01,7,3,2007,22604,25,22,6,31
2007-08-01,8,3,2007,48170,42,20,15,31
2007-09-01,9,3,2007,28747,31,17,9,13
2007-10-01,10,4,2007,32198,42,13,8,0
2007-11-01,11,4,2007,46034,40,6,5,3
2007-12-01,12,4,2007,39945,39,2,2,7
2008-01-01,1,1,2008,30571,39,3,10,7
2008-02-01,2,1,2008,42102,42,5,3,4
2008-03-01,3,1,2008,66920,52,9,9,5
2008-04-01,4,2,2008,71130,56,11,15,2
2008-05-01,5,2,2008,70278,34,16,17,3
2008-06-01,6,2,2008,31527,20,20,18,23
